feature,importance
user_book_avg,0.2963965296850658
user_mean,0.1631063773114003
book_mean,0.12521607999782997
user_book_diff,0.07669407041762454
user_std,0.0755481912236051
book_std,0.06469805796411403
book_max,0.05139164680833156
book_min,0.03658550322505825
book_count,0.03551889838998508
user_count,0.02361223878663134
user_min,0.018600838269374566
book_range,0.016399193326693654
user_range,0.012261127099585371
user_max,0.003971247494700496
